County, Population
"Collin","782,341"
"Collingsworth","3,057"
"Colorado","20,874"
"Comal","108,472"
"Comanche","13,974"
"Concho","4,087"
"Cooke","38,437"
"Coryell","75,388"
"Cottle","1,505"
"Crane","4,375"
"Crockett","3,719"
"Crosby","6,059"
"Culberson","2,398"
"Dallam","6,703"
"Dallas","2,368,139"
"Dawson","13,833"
"Deaf","19,372"
"Delta","5,231"
"Denton","662,614"
"DeWitt","20,097"
"Dickens","2,444"
"Dimmit","9,996"
"Donley","3,677"
"Duval","11,782"
"Eastland","18,583"
"Ector","137,130"
"Edwards","2,002"
"Ellis","149,610"
"El","800,647"
"Erath","37,890"
"Falls","17,866"
"Fannin","33,915"
"Fayette","24,554"
"Fisher","3,974"
"Floyd","6,446"
"Foard","1,336"
"Fort","585,375"
"Franklin","10,605"
"Freestone","19,816"
"Frio","17,217"
"Gaines","17,526"
"Galveston","291,309"
"Garza","6,461"
"Gillespie","24,837"
"Glasscock","1,226"
"Goliad","7,210"
"Gonzales","19,807"
"Gray","22,535"
"Grayson","120,877"
"Gregg","121,730"
"Grimes","26,604"
"Guadalupe","131,533"
"Hale","36,273"
"Hall","3,353"
"Hamilton","8,517"
"Hansford","5,613"
"Hardeman","4,139"
"Hardin","54,635"
"Harris","4,092,459"
"Harrison","65,631"
"Hartley","6,062"
"Haskell","5,899"
"Hays","157,107"
"Hemphill","3,807"
"Henderson","78,532"
"Hidalgo","774,769"
"Hill","35,089"
"Hockley","22,935"
"Hood","51,182"
"Hopkins","35,161"
"Houston","23,732"
"Howard","35,012"
"Hudspeth","3,476"
"Hunt","86,129"
"Hutchinson","22,150"
"Irion","1,599"
"Jack","9,044"
"Jackson","14,075"
"Jasper","35,710"
"Jeff","2,342"
"Jefferson","252,273"
"Jim","5,300"
"Jim","40,838"
"Johnson","150,934"
"Jones","20,202"
"Karnes","14,824"
"Kaufman","103,350"
"Kendall","33,410"
"Kenedy","416"
"Kent","808"
"Kerr","49,625"
"Kimble","4,607"
"King","286"
"Kinney","3,598"
"Kleberg","32,061"
"Knox","3,719"
"Lamar","49,793"
"Lamb","13,977"
"Lampasas","19,677"
"La","6,886"
"Lavaca","19,263"
"Lee","16,612"
"Leon","16,801"
"Liberty","75,643"
"Limestone","23,384"
"Lipscomb","3,302"
"Live","11,531"
"Llano","19,301"
"Loving","82"
"Lubbock","278,831"
"Lynn","5,915"
"McCulloch","8,283"
"McLennan","234,906"
"McMullen","707"
"Madison","13,664"
"Marion","10,546"
"Martin","4,799"
"Mason","4,012"
"Matagorda","36,702"
"Maverick","54,258"
"Medina","46,006"
"Menard","2,242"
"Midland","136,872"
"Milam","24,757"
"Mills","4,936"
"Mitchell","9,403"
"Montague","19,719"
"Montgomery","455,746"
"Moore","21,904"
"Morris","12,934"
"Motley","1,210"
"Nacogdoches","64,524"
"Navarro","47,735"
"Newton","14,445"
"Nolan","15,216"
"Nueces","340,223"
"Ochiltree","10,223"
"Oldham","2,052"
"Orange","81,837"
"Palo","28,111"
"Panola","23,796"
"Parker","116,927"
"Parmer","10,269"
"Pecos","15,507"
"Polk","45,413"
"Potter","121,073"
"Presidio","7,818"
"Rains","10,914"
"Randall","120,725"
"Reagan","3,367"
"Real","3,309"
"Red","12,860"
"Reeves","13,783"
"Refugio","7,383"
"Roberts","929"
"Robertson","16,622"
"Rockwall","78,337"
"Runnels","10,501"
"Rusk","53,330"
"Sabine","10,834"
"San","8,865"
"San","26,384"
"San","64,804"
"San","6,131"
"Schleicher","3,461"
"Scurry","16,921"
"Shackelford","3,378"
"Shelby","25,448"
"Sherman","3,034"
"Smith","209,714"
"Somervell","8,490"
"Starr","60,968"
"Stephens","9,630"
"Sterling","1,143"
"Stonewall","1,490"
"Sutton","4,128"
"Swisher","7,854"
"Tarrant","1,809,034"
"Taylor","131,506"
"Terrell","984"
"Terry","12,651"
"Throckmorton","1,641"
"Titus","32,334"
"Tom","110,224"
"Travis","1,024,266"
"Trinity","14,585"
"Tyler","21,766"
"Upshur","39,309"
"Upton","3,355"
"Uvalde","26,405"
"Val","48,879"
"Van","52,579"
"Victoria","86,793"
"Walker","67,861"
"Waller","43,205"
"Ward","10,658"
"Washington","33,718"
"Webb","250,304"
"Wharton","41,280"
"Wheeler","5,410"
"Wichita","131,500"
"Wilbarger","13,535"
"Willacy","22,134"
"Williamson","422,679"
"Wilson","42,918"
"Winkler","7,110"
"Wise","59,127"
"Wood","41,964"
"Yoakum","7,879"
"Young","18,550"
"Zapata","14,018"
"Zavala","11,677"
"Beaver","6,629"
"Box","49,975"
"Cache","112,656"
"Carbon","21,403"
"Daggett","1,059"
"Davis","306,479"
"Duchesne","18,607"
"Emery","10,976"
"Garfield","5,172"
"Grand","9,225"
"Iron","46,163"
"Juab","10,246"
"Kane","7,125"
"Millard","12,503"
"Morgan","9,469"
"Piute","1,556"
"Rich","2,264"
"Salt","1,029,655"
"San","14,746"
"Sanpete","27,822"
"Sevier","20,802"
"Summit","36,324"
"Tooele","58,218"
"Uintah","32,588"
"Utah","516,564"
"Wasatch","23,530"
"Washington","138,115"
"Wayne","2,778"
"Weber","231,236"
"Addison","36,821"
"Bennington","37,125"
"Caledonia","31,227"
"Chittenden","156,545"
"Essex","6,306"
"Franklin","47,746"
"Grand","6,970"
"Lamoille","24,475"
"Orange","28,936"
"Orleans","27,231"
"Rutland","61,642"
"Washington","59,534"
"Windham","44,513"
"Windsor","56,670"
"Accomack","33,164"
"Albemarle","98,970"
"Alleghany","16,250"
"Amelia","12,690"
"Amherst","32,353"
"Appomattox","14,973"
"Arlington","207,627"
"Augusta","73,750"
"Bath","4,731"
"Bedford","68,676"
"Bland","6,824"
"Botetourt","33,148"
"Brunswick","17,434"
"Buchanan","24,098"
"Buckingham","17,146"
"Campbell","54,842"
"Caroline","28,545"
"Carroll","30,042"
"Charles","7,256"
"Charlotte","12,586"
"Chesterfield","316,236"
"Clarke","14,034"
"Craig","5,190"
"Culpeper","46,689"
"Cumberland","10,052"
"Dickenson","15,903"
"Dinwiddie","28,001"
"Essex","11,151"
"Fairfax","1,081,726"
"Fauquier","65,203"
"Floyd","15,279"
"Fluvanna","25,691"
"Franklin","56,159"
"Frederick","78,305"
"Giles","17,286"
"Gloucester","36,858"
"Goochland","21,717"
"Grayson","15,533"
"Greene","18,403"
"Greensville","12,243"
"Halifax","36,241"
"Hanover","99,863"
"Henrico","306,935"
"Henry","54,151"
"Highland","2,321"
"Isle","35,270"
"James","67,009"
"King","6,945"
"King","23,584"
"King","15,935"
"Lancaster","11,391"
"Lee","25,587"
"Loudoun","312,311"
"Louisa","33,153"
"Lunenburg","12,914"
"Madison","13,308"
"Mathews","8,978"
"Mecklenburg","32,727"
"Middlesex","10,959"
"Montgomery","94,392"
"Nelson","15,020"
"New","18,429"
"Northampton","12,389"
"Northumberland","12,330"
"Nottoway","15,853"
"Orange","33,481"
"Page","24,042"
"Patrick","18,490"
"Pittsylvania","63,506"
"Powhatan","28,046"
"Prince","23,368"
"Prince","35,725"
"Prince","402,002"
"Pulaski","34,872"
"Rappahannock","7,373"
"Richmond","9,254"
"Roanoke","92,376"
"Rockbridge","22,307"
"Rockingham","76,314"
"Russell","28,897"
"Scott","23,177"
"Shenandoah","41,993"
"Smyth","32,208"
"Southampton","18,570"
"Spotsylvania","122,397"
"Stafford","128,961"
"Surry","7,058"
"Sussex","12,087"
"Tazewell","45,078"
"Warren","37,575"
"Washington","54,876"
"Westmoreland","17,454"
"Wise","41,452"
"Wythe","29,235"
"York","65,464"
"Alexandria","139,966"
"Bristol","17,835"
"Buena","6,650"
"Charlottesville","43,475"
"Chesapeake","222,209"
"Colonial","17,411"
"Covington","5,961"
"Danville","43,055"
"Emporia","5,927"
"Fairfax","22,565"
"Falls","12,332"
"Franklin","8,582"
"Fredericksburg","24,286"
"Galax","7,042"
"Hampton","137,436"
"Harrisonburg","48,914"
"Hopewell","22,591"
"Lexington","7,042"
"Lynchburg","75,568"
"Manassas","37,821"
"Manassas","14,273"
"Martinsville","13,821"
"Newport","180,719"
"Norfolk","242,803"
"Norton","3,958"
"Petersburg","32,420"
"Poquoson","12,150"
"Portsmouth","95,535"
"Radford","16,408"
"Richmond","204,214"
"Roanoke","97,032"
"Salem","24,802"
"Staunton","23,746"
"Suffolk","84,585"
"Virginia","437,994"
"Waynesboro","21,006"
"Williamsburg","14,068"
"Winchester","26,203"
"Adams","18,728"
"Asotin","21,623"
"Benton","175,177"
"Chelan","72,453"
"Clallam","71,404"
"Clark","425,363"
"Columbia","4,078"
"Cowlitz","102,410"
"Douglas","38,431"
"Ferry","7,551"
"Franklin","78,163"
"Garfield","2,266"
"Grant","89,120"
"Grays","72,797"
"Island","78,506"
"Jefferson","29,872"
"King","1,931,249"
"Kitsap","251,133"
"Kittitas","40,915"
"Klickitat","20,318"
"Lewis","75,455"
"Lincoln","10,570"
"Mason","60,699"
"Okanogan","41,120"
"Pacific","20,920"
"Pend","13,001"
"Pierce","795,225"
"San","15,769"
"Skagit","116,901"
"Skamania","11,066"
"Snohomish","713,335"
"Spokane","471,221"
"Stevens","43,531"
"Thurston","252,264"
"Wahkiakum","3,978"
"Walla","58,781"
"Whatcom","201,140"
"Whitman","44,776"
"Yakima","243,231"
"Barbour","16,589"
"Berkeley","104,169"
"Boone","24,629"
"Braxton","14,523"
"Brooke","24,069"
"Cabell","96,319"
"Calhoun","7,627"
"Clay","9,386"
"Doddridge","8,202"
"Fayette","46,039"
"Gilmer","8,693"
"Grant","11,937"
"Greenbrier","35,480"
"Hampshire","23,964"
"Hancock","30,676"
"Hardy","14,025"
"Harrison","69,099"
"Jackson","29,211"
"Jefferson","53,498"
"Kanawha","193,063"
"Lewis","16,372"
"Lincoln","21,720"
"Logan","36,743"
"McDowell","22,113"
"Marion","56,418"
"Marshall","33,107"
"Mason","27,324"
"Mercer","62,264"
"Mineral","28,212"
"Mingo","26,839"
"Monongalia","96,189"
"Monroe","13,502"
"Morgan","17,541"
"Nicholas","26,233"
"Ohio","44,443"
"Pendleton","7,695"
"Pleasants","7,605"
"Pocahontas","8,719"
"Preston","33,520"
"Putnam","55,486"
"Raleigh","78,859"
"Randolph","29,405"
"Ritchie","10,449"
"Roane","14,926"
"Summers","13,927"
"Taylor","16,895"
"Tucker","7,141"
"Tyler","9,208"
"Upshur","24,254"
"Wayne","42,481"
"Webster","9,154"
"Wetzel","16,583"
"Wirt","5,717"
"Wood","86,956"
"Wyoming","23,796"
"Adams","20,875"
"Ashland","16,157"
"Barron","45,870"
"Bayfield","15,014"
"Brown","248,007"
"Buffalo","13,587"
"Burnett","15,457"
"Calumet","48,971"
"Chippewa","62,415"
"Clark","34,690"
"Columbia","56,833"
"Crawford","16,644"
"Dane","488,073"
"Dodge","88,759"
"Door","27,785"
"Douglas","44,159"
"Dunn","43,857"
"Eau","98,736"
"Florence","4,423"
"Fond","101,633"
"Forest","9,304"
"Grant","51,208"
"Green","36,842"
"Green","19,051"
"Iowa","23,687"
"Iron","5,916"
"Jackson","20,449"
"Jefferson","83,686"
"Juneau","26,664"
"Kenosha","166,426"
"Kewaunee","20,574"
"La","114,638"
"Lafayette","16,836"
"Langlade","19,977"
"Lincoln","28,743"
"Manitowoc","81,442"
"Marathon","134,063"
"Marinette","41,749"
"Marquette","15,404"
"Menominee","4,232"
"Milwaukee","947,735"
"Monroe","44,673"
"Oconto","37,660"
"Oneida","35,998"
"Outagamie","176,695"
"Ozaukee","86,395"
"Pepin","7,469"
"Pierce","41,019"
"Polk","44,205"
"Portage","70,019"
"Price","14,159"
"Racine","195,408"
"Richland","18,021"
"Rock","160,331"
"Rusk","14,755"
"St","84,345"
"Sauk","61,976"
"Sawyer","16,557"
"Shawano","41,949"
"Sheboygan","115,507"
"Taylor","20,689"
"Trempealeau","28,816"
"Vernon","29,773"
"Vilas","21,430"
"Walworth","102,228"
"Washburn","15,911"
"Washington","131,887"
"Waukesha","389,891"
"Waupaca","52,410"
"Waushara","24,496"
"Winnebago","166,994"
"Wood","74,749"
"Albany","36,299"
"Big","11,668"
"Campbell","46,133"
"Carbon","15,885"
"Converse","13,833"
"Crook","7,083"
"Fremont","40,123"
"Goshen","13,249"
"Hot","4,812"
"Johnson","8,569"
"Laramie","91,738"
"Lincoln","18,106"
"Natrona","75,450"
"Niobrara","2,484"
"Park","28,205"
"Platte","8,667"
"Sheridan","29,116"
"Sublette","10,247"
"Sweetwater","43,806"
"Teton","21,294"
"Uinta","21,118"
"Washakie","8,533"
"Weston","7,208"
