County, Population
"Madison","82,916"
"Magoffin","13,333"
"Marion","19,820"
"Marshall","31,448"
"Martin","12,929"
"Mason","17,490"
"Meade","28,602"
"Menifee","6,306"
"Mercer","21,331"
"Metcalfe","10,099"
"Monroe","10,963"
"Montgomery","26,499"
"Morgan","13,923"
"Muhlenberg","31,499"
"Nelson","43,437"
"Nicholas","7,135"
"Ohio","23,842"
"Oldham","60,316"
"Owen","10,841"
"Owsley","4,755"
"Pendleton","14,877"
"Perry","28,712"
"Pike","65,024"
"Powell","12,613"
"Pulaski","63,063"
"Robertson","2,282"
"Rockcastle","17,056"
"Rowan","23,333"
"Russell","17,565"
"Scott","47,173"
"Shelby","42,074"
"Simpson","17,327"
"Spencer","17,061"
"Taylor","24,512"
"Todd","12,460"
"Trigg","14,339"
"Trimble","8,809"
"Union","15,007"
"Warren","113,792"
"Washington","11,717"
"Wayne","20,813"
"Webster","13,621"
"Whitley","35,637"
"Wolfe","7,355"
"Woodford","24,939"
"Acadia","61,773"
"Allen","25,764"
"Ascension","107,215"
"Assumption","23,421"
"Avoyelles","42,073"
"Beauregard","35,654"
"Bienville","14,353"
"Bossier","116,979"
"Caddo","254,969"
"Calcasieu","192,768"
"Caldwell","10,132"
"Cameron","6,839"
"Catahoula","10,407"
"Claiborne","17,195"
"Concordia","20,822"
"De","26,656"
"East","440,171"
"East","7,759"
"East","20,267"
"Evangeline","33,984"
"Franklin","20,767"
"Grant","22,309"
"Iberia","73,240"
"Iberville","33,387"
"Jackson","16,274"
"Jefferson","432,552"
"Jefferson","31,594"
"Lafayette","221,578"
"Lafourche","96,318"
"LaSalle","14,890"
"Lincoln","46,735"
"Livingston","128,026"
"Madison","12,093"
"Morehouse","27,979"
"Natchitoches","39,566"
"Orleans","343,829"
"Ouachita","153,720"
"Plaquemines","23,042"
"Pointe","22,802"
"Rapides","131,613"
"Red","9,091"
"Richland","20,725"
"Sabine","24,233"
"St","35,897"
"St","52,780"
"St","11,203"
"St","22,102"
"St","45,924"
"St","83,384"
"St","52,160"
"St","54,650"
"St","233,740"
"Tangipahoa","121,097"
"Tensas","5,252"
"Terrebonne","111,860"
"Union","22,721"
"Vermilion","57,999"
"Vernon","52,334"
"Washington","47,168"
"Webster","41,207"
"West","23,788"
"West","11,604"
"West","15,625"
"Winn","15,313"
"Androscoggin","107,702"
"Aroostook","71,870"
"Cumberland","281,674"
"Franklin","30,768"
"Hancock","54,418"
"Kennebec","122,151"
"Knox","39,736"
"Lincoln","34,457"
"Oxford","57,833"
"Penobscot","153,923"
"Piscataquis","17,535"
"Sagadahoc","35,293"
"Somerset","52,228"
"Waldo","38,786"
"Washington","32,856"
"York","197,131"
"Allegany","75,087"
"Anne","537,656"
"Baltimore","805,029"
"Calvert","88,737"
"Caroline","33,066"
"Carroll","167,134"
"Cecil","101,108"
"Charles","146,551"
"Dorchester","32,618"
"Frederick","233,385"
"Garrett","30,097"
"Harford","244,826"
"Howard","287,085"
"Kent","20,197"
"Montgomery","971,777"
"Prince","863,420"
"Queen","47,798"
"St","105,151"
"Somerset","26,470"
"Talbot","37,782"
"Washington","147,430"
"Wicomico","98,733"
"Worcester","51,454"
"Baltimore","620,961"
"Barnstable","215,888"
"Berkshire","131,219"
"Bristol","548,285"
"Dukes","16,535"
"Essex","743,159"
"Franklin","71,372"
"Hampden","463,490"
"Hampshire","158,080"
"Middlesex","1,503,085"
"Nantucket","10,172"
"Norfolk","670,850"
"Plymouth","494,919"
"Suffolk","722,023"
"Worcester","798,552"
"Alcona","10,942"
"Alger","9,601"
"Allegan","111,408"
"Alpena","29,598"
"Antrim","23,580"
"Arenac","15,899"
"Baraga","8,860"
"Barry","59,173"
"Bay","107,771"
"Benzie","17,525"
"Berrien","156,813"
"Branch","45,248"
"Calhoun","136,146"
"Cass","52,293"
"Charlevoix","25,949"
"Cheboygan","26,152"
"Chippewa","38,520"
"Clare","30,926"
"Clinton","75,382"
"Crawford","14,074"
"Delta","37,069"
"Dickinson","26,168"
"Eaton","107,759"
"Emmet","32,694"
"Genesee","425,790"
"Gladwin","25,692"
"Gogebic","16,427"
"Grand","86,986"
"Gratiot","42,476"
"Hillsdale","46,688"
"Houghton","36,628"
"Huron","33,118"
"Ingham","280,895"
"Ionia","63,905"
"Iosco","25,887"
"Iron","11,817"
"Isabella","70,311"
"Jackson","160,248"
"Kalamazoo","250,331"
"Kalkaska","17,153"
"Kent","602,622"
"Keweenaw","2,156"
"Lake","11,539"
"Lapeer","88,319"
"Leelanau","21,708"
"Lenawee","99,892"
"Livingston","180,967"
"Luce","6,631"
"Mackinac","11,113"
"Macomb","840,978"
"Manistee","24,733"
